order_id,item_price,quantity,item_cat,item_name,created_at,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery
109,12,2,Pizza,Pizza Margherita Reg,2022-10-08 13:22:00.0000000,607 Trails End Road,NULL,Manchester,6042,"1         "
110,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 13:53:00.0000000,25 Cliffside Drive,NULL,Manchester,6042,"1         "
111,12,1,Pizza,Pizza Margherita Reg,2022-10-08 13:32:00.0000000,56 Concord Road,NULL,Manchester,6042,"1         "
111,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 13:32:00.0000000,56 Concord Road,NULL,Manchester,6042,"1         "
112,19,3,Pizza,Pizza Quattro Formaggi Large,2022-10-08 19:19:00.0000000,82 Lookout Mountain Drive,NULL,Manchester,6040,"0         "
112,5,5,Side,Breadsticks,2022-10-08 19:19:00.0000000,82 Lookout Mountain Drive,NULL,Manchester,6040,"0         "
112,7,5,Side,Caesar Salad,2022-10-08 19:19:00.0000000,82 Lookout Mountain Drive,NULL,Manchester,6040,"0         "
112,6,1,Dessert,Strawberry Ice cream,2022-10-08 19:19:00.0000000,82 Lookout Mountain Drive,NULL,Manchester,6040,"0         "
112,2,1,Drink,San Pelligrino 33cl,2022-10-08 19:19:00.0000000,82 Lookout Mountain Drive,NULL,Manchester,6040,"0         "
113,19,1,Pizza,Pizza Quattro Formaggi Large,2022-10-08 19:19:00.0000000,21 Carver Lane,NULL,Manchester,6040,"1         "
113,16,1,Pizza,Pizza Napolitana Reg,2022-10-08 20:45:00.0000000,21 Carver Lane,NULL,Manchester,6040,"1         "
113,6,2,Dessert,Pistachio Ice cream,2022-10-08 20:45:00.0000000,21 Carver Lane,NULL,Manchester,6040,"1         "
113,6,1,Dessert,Chocolate Ice cream,2022-10-08 20:45:00.0000000,21 Carver Lane,NULL,Manchester,6040,"1         "
113,5,3,Dessert,Chocolate Brownie,2022-10-08 20:45:00.0000000,21 Carver Lane,NULL,Manchester,6040,"1         "
114,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,14,1,Pizza,Pizza Margherita Large,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,18,1,Pizza,Pizza Napolitana Large,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,7,1,Side,Chicken Wings,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,7,1,Side,Caesar Salad,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,5,1,Dessert,Chocolate Brownie,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,7,1,Dessert,Banoffee Pie,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,6,1,Dessert,Vanilla Ice cream,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
114,6,1,Drink,Coca Cola Regular 1.5l,2022-10-08 12:05:00.0000000,61 Plymouth Lane,NULL,Manchester,6040,"1         "
115,12,2,Pizza,Pizza Margherita Reg,2022-10-08 12:19:00.0000000,265 Slater Street,NULL,Manchester,6042,"1         "
115,16,4,Pizza,Pizza Diavola (hot) Reg,2022-10-08 12:19:00.0000000,265 Slater Street,NULL,Manchester,6042,"1         "
115,15,2,Pizza,Pizza Parmigiana Reg,2022-10-08 12:19:00.0000000,265 Slater Street,NULL,Manchester,6042,"1         "
115,7,3,Dessert,Banoffee Pie,2022-10-08 12:19:00.0000000,265 Slater Street,NULL,Manchester,6042,"1         "
115,3,5,Drink,Coca Cola Diet 33cl,2022-10-08 12:19:00.0000000,265 Slater Street,NULL,Manchester,6042,"1         "
116,19,3,Pizza,Pizza Diavola (hot) Large,2022-10-08 13:08:00.0000000,159 Adams Street,NULL,Manchester,6040,"1         "
116,17,3,Pizza,Pizza Pepperoni Large,2022-10-08 13:08:00.0000000,159 Adams Street,NULL,Manchester,6040,"1         "
116,18,1,Pizza,Pizza Napolitana Large,2022-10-08 13:08:00.0000000,159 Adams Street,NULL,Manchester,6040,"1         "
116,7,1,Side,Caesar Salad,2022-10-08 13:08:00.0000000,159 Adams Street,NULL,Manchester,6040,"1         "
116,3,5,Drink,Coca Cola Regular 33cl,2022-10-08 13:08:00.0000000,159 Adams Street,NULL,Manchester,6040,"1         "
117,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 20:24:00.0000000,66 Pine Street,NULL,Manchester,6040,"0         "
117,19,2,Pizza,Pizza Quattro Formaggi Large,2022-10-08 20:24:00.0000000,66 Pine Street,NULL,Manchester,6040,"0         "
117,7,2,Side,Chicken Wings,2022-10-08 20:24:00.0000000,66 Pine Street,NULL,Manchester,6040,"0         "
117,6,1,Dessert,Strawberry Ice cream,2022-10-08 20:24:00.0000000,66 Pine Street,NULL,Manchester,6040,"0         "
118,12,3,Pizza,Pizza Margherita Reg,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,16,2,Pizza,Pizza Diavola (hot) Reg,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,19,4,Pizza,Pizza Quattro Formaggi Large,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,17,2,Pizza,Pizza Pepperoni Large,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,17,1,Pizza,Pizza Seafood Reg,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,18,1,Pizza,Pizza Napolitana Large,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,15,5,Pizza,Pizza Parmigiana Reg,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,6,4,Side,Garlic Bread,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,7,4,Side,Caesar Salad,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,5,10,Dessert,Fruit Salad,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,7,5,Dessert,Banoffee Pie,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
118,4,10,Drink,Perrier 1.5l,2022-10-08 19:48:00.0000000,18 Cambridge Street,NULL,Manchester,6042,"1         "
119,17,1,Pizza,Pizza Seafood Reg,2022-10-08 22:05:00.0000000,310 Timrod Road,NULL,Manchester,6040,"1         "
119,19,1,Pizza,Pizza Diavola (hot) Large,2022-10-08 22:05:00.0000000,310 Timrod Road,NULL,Manchester,6040,"1         "
119,18,1,Pizza,Pizza Napolitana Large,2022-10-08 22:05:00.0000000,310 Timrod Road,NULL,Manchester,6040,"1         "
119,6,2,Dessert,Pistachio Ice cream,2022-10-08 22:05:00.0000000,310 Timrod Road,NULL,Manchester,6040,"1         "
119,3,3,Drink,Coca Cola Regular 33cl,2022-10-08 22:05:00.0000000,310 Timrod Road,NULL,Manchester,6040,"1         "
120,6,1,Drink,Sprite Regular 1.5l,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,3,1,Drink,Fanta Regular 33cl,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,7,1,Dessert,Banoffee Pie,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,6,2,Dessert,Chocolate Ice cream,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,5,1,Side,Breadsticks,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,7,1,Side,Chicken Wings,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
120,19,1,Pizza,Pizza Diavola (hot) Large,2022-10-08 14:20:00.0000000,44 Downey Drive,NULL,Manchester,6040,"0         "
121,19,2,Pizza,Pizza Diavola (hot) Large,2022-10-08 12:05:00.0000000,31 Buckland Hills Drive,NULL,Manchester,6042,"1         "
121,16,4,Pizza,Pizza Napolitana Reg,2022-10-08 12:05:00.0000000,31 Buckland Hills Drive,NULL,Manchester,6042,"1         "
121,5,1,Side,Breadsticks,2022-10-08 12:05:00.0000000,31 Buckland Hills Drive,NULL,Manchester,6042,"1         "
121,6,1,Drink,Sprite Regular 1.5l,2022-10-08 12:05:00.0000000,31 Buckland Hills Drive,NULL,Manchester,6042,"1         "
122,17,1,Pizza,Pizza Pepperoni Large,2022-10-08 18:34:00.0000000,194 Buckland Hills Drive,NULL,Manchester,6042,"1         "
122,7,2,Side,Caesar Salad,2022-10-08 18:34:00.0000000,194 Buckland Hills Drive,NULL,Manchester,6042,"1         "
122,5,1,Dessert,Chocolate Brownie,2022-10-08 18:34:00.0000000,194 Buckland Hills Drive,NULL,Manchester,6042,"1         "
122,6,2,Drink,Fanta Regular 1.5l,2022-10-08 18:34:00.0000000,194 Buckland Hills Drive,NULL,Manchester,6042,"1         "
123,16,1,Pizza,Pizza Quattro Formaggi Reg,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,17,5,Pizza,Pizza Pepperoni Large,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,16,2,Pizza,Pizza Napolitana Reg,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,5,2,Side,Breadsticks,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,6,12,Dessert,Chocolate Ice cream,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,4,2,Drink,San Pelligrino 1.5l,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,3,22,Drink,Fanta Regular 33cl,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
123,6,2,Drink,Sprite Regular 1.5l,2022-10-08 18:43:00.0000000,29 Lucian Street,NULL,Manchester,6040,"1         "
124,20,1,Pizza,Pizza Seafood Large,2022-10-08 20:01:00.0000000,138 Bolton Street,NULL,Manchester,6040,"1         "
124,5,2,Side,Breadsticks,2022-10-08 20:01:00.0000000,138 Bolton Street,NULL,Manchester,6040,"1         "
124,7,2,Side,Caesar Salad,2022-10-08 20:01:00.0000000,138 Bolton Street,NULL,Manchester,6040,"1         "
125,4,1,Drink,San Pelligrino 1.5l,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,19,1,Pizza,Pizza Quattro Formaggi Large,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,16,2,Pizza,Pizza Napolitana Reg,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,5,2,Side,Breadsticks,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,7,2,Side,Chicken Wings,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,7,3,Side,Caesar Salad,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,7,4,Dessert,Banoffee Pie,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,3,1,Drink,Coca Cola Diet 33cl,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
125,3,2,Drink,Coca Cola Regular 33cl,2022-10-08 13:08:00.0000000,60 Desousa Drive,NULL,Manchester,6040,"1         "
126,19,1,Pizza,Pizza Diavola (hot) Large,2022-10-08 12:46:00.0000000,4 Orchard Street,NULL,Manchester,6040,"0         "
126,7,1,Side,Chicken Wings,2022-10-08 12:46:00.0000000,4 Orchard Street,NULL,Manchester,6040,"0         "
126,5,1,Side,Breadsticks,2022-10-08 12:46:00.0000000,4 Orchard Street,NULL,Manchester,6040,"0         "
126,5,1,Dessert,Chocolate Brownie,2022-10-08 12:46:00.0000000,4 Orchard Street,NULL,Manchester,6040,"0         "
126,6,1,Drink,Coca Cola Regular 1.5l,2022-10-08 12:46:00.0000000,4 Orchard Street,NULL,Manchester,6040,"0         "
127,19,1,Pizza,Pizza Quattro Formaggi Large,2022-10-08 13:35:00.0000000,117 Adelaide Road,NULL,Manchester,6040,"1         "
127,5,1,Side,Breadsticks,2022-10-08 13:35:00.0000000,117 Adelaide Road,NULL,Manchester,6040,"1         "
127,7,1,Dessert,Banoffee Pie,2022-10-08 13:35:00.0000000,117 Adelaide Road,NULL,Manchester,6040,"1         "
127,2,1,Drink,San Pelligrino 33cl,2022-10-08 13:35:00.0000000,117 Adelaide Road,NULL,Manchester,6040,"1         "
127,2,1,Drink,Perrier 33cl,2022-10-08 13:35:00.0000000,117 Adelaide Road,NULL,Manchester,6040,"1         "
128,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 21:28:00.0000000,236 Middle Turnpike East,NULL,Manchester,6040,"1         "
128,7,1,Side,Chicken Wings,2022-10-08 21:28:00.0000000,236 Middle Turnpike East,NULL,Manchester,6040,"1         "
128,3,1,Drink,Fanta Regular 33cl,2022-10-08 21:28:00.0000000,236 Middle Turnpike East,NULL,Manchester,6040,"1         "
128,17,1,Pizza,Pizza Pepperoni Large,2022-10-08 21:28:00.0000000,236 Middle Turnpike East,NULL,Manchester,6040,"1         "
129,19,1,Pizza,Pizza Quattro Formaggi Large,2022-10-08 19:42:00.0000000,736 Middle Turnpike East,NULL,Manchester,6040,"1         "
129,15,1,Pizza,Pizza Hawaiian Reg,2022-10-08 19:42:00.0000000,736 Middle Turnpike East,NULL,Manchester,6040,"1         "
129,7,1,Dessert,Banoffee Pie,2022-10-08 19:42:00.0000000,736 Middle Turnpike East,NULL,Manchester,6040,"1         "
129,3,2,Drink,Fanta Regular 33cl,2022-10-08 19:42:00.0000000,736 Middle Turnpike East,NULL,Manchester,6040,"1         "
130,12,1,Pizza,Pizza Margherita Reg,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,18,1,Pizza,Pizza Parmigiana Large,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,7,1,Side,Caesar Salad,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,6,1,Dessert,Vanilla Ice cream,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,6,1,Dessert,Strawberry Ice cream,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,2,2,Drink,San Pelligrino 33cl,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,3,1,Drink,Coca Cola Diet 33cl,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
130,3,1,Drink,Sprite Regular 33cl,2022-10-08 19:51:00.0000000,95 Briarwood Drive,NULL,Manchester,6040,"1         "
131,19,1,Pizza,Pizza Diavola (hot) Large,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
131,17,1,Pizza,Pizza Hawaiian Large,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
131,7,1,Side,Chicken Wings,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
131,5,1,Dessert,Chocolate Brownie,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
131,7,1,Dessert,Banoffee Pie,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
131,6,1,Drink,Fanta Regular 1.5l,2022-10-08 13:51:00.0000000,65 Arcellia Drive,NULL,Manchester,6042,"1         "
132,12,1,Pizza,Pizza Margherita Reg,2022-10-08 13:31:00.0000000,25 Edwards Street,NULL,Manchester,6042,"1         "
132,19,1,Pizza,Pizza Quattro Formaggi Large,2022-10-08 13:31:00.0000000,25 Edwards Street,NULL,Manchester,6042,"1         "
132,17,1,Pizza,Pizza Pepperoni Large,2022-10-08 13:31:00.0000000,25 Edwards Street,NULL,Manchester,6042,"1         "
132,5,1,Dessert,Chocolate Brownie,2022-10-08 13:31:00.0000000,25 Edwards Street,NULL,Manchester,6042,"1         "
132,2,2,Drink,Perrier 33cl,2022-10-08 13:31:00.0000000,25 Edwards Street,NULL,Manchester,6042,"1         "
133,16,1,Pizza,Pizza Diavola (hot) Reg,2022-10-08 20:36:00.0000000,115 Waddell Road,NULL,Manchester,6040,"1         "
134,19,2,Pizza,Pizza Diavola (hot) Large,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"1         "
134,16,1,Pizza,Pizza Quattro Formaggi Reg,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
134,15,5,Pizza,Pizza Pepperoni Reg,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
134,5,5,Side,Breadsticks,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
134,5,10,Dessert,Chocolate Brownie,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
134,7,5,Dessert,Banoffee Pie,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
134,5,5,Dessert,Fruit Salad,2022-10-08 19:11:00.0000000,425 Middle Turnpike East,NULL,Manchester,6040,"0         "
